"nome","frecuencia","porcentaxe","tempo"
"LAURA",60,0.7,2018
"AITANA",56,0.7,2018
"CHLOE",56,0.7,2018
"INES",56,0.7,2018
"ADRIANA",54,0.7,2018
"ZOE",54,0.7,2018
"AINARA",52,0.6,2018
"MARTA",52,0.6,2018
"XIANA",50,0.6,2018
"CELIA",49,0.6,2018
"IRENE",47,0.6,2018
"JIMENA",45,0.6,2018
"CLARA",44,0.5,2018
"ANDREA",43,0.5,2018
"LUA",42,0.5,2018
